index,project,func,function,REST_calls,GraphQL_calls
1,csurfer/gitsuggest,F1,__populate_repositories_of_interest,4,1
2,csurfer/gitsuggest,F2,__get_repos_for_query,1,1
3,donnemartin/gitsome,F3,followers,1,1
4,donnemartin/gitsome,F4,following,1,1
5,donnemartin/gitsome,F5,issues_setup,1,1
6,donnemartin/gitsome,F6,pull_requests,2,1
7,donnemartin/gitsome,F7,repositories_setup,1,1
8,donnemartin/gitsome,F8,search_issues,1,1
9,donnemartin/gitsome,F9,search_repositories,1,1
10,donnemartin/gitsome,F10,starred,1,1
11,donnemartin/gitsome,F11,user,2,1
12,guyzmo/git-repo,F12,list,1,1
13,guyzmo/git-repo,F13,gist_list,1,1
14,guyzmo/git-repo,F14,request_list,2,1
15,guyzmo/git-repo,F15,get_parent_project_url,1,1
16,guyzmo/git-repo,F16,get_project_default_branch,1,1
17,donnemartin/viz,F17,get_user_info,1,2
18,donnemartin/viz,F18,search_repos,1,1
19,vdaubry/github-awards,F19,update_repo,1,1
20,vdaubry/github-awards,F20,update_user,2,2
21,bibcure/arxivcheck,F21,get_arxiv_info,1,1
22,karpathy/arxiv-sanity-preserver,F22,fetch_papers,1,1
